id;name;ca;town;status;type;numVictims;lat;long
1;Fosa en el Cementerio de Aguadulce;Andalucía;Aguadulce;DESAPARECIDA;FUSILAMIENTO;17;37.2542;-4.9923835
2;Fosa 1 en el Cementerio viejo de El Rubio;Andalucía;Rubio, El;DESAPARECIDA;FUSILAMIENTO;31;37.2542;-4.9923835
3;Fosa en el Alto de la Colladona;Principado de Asturias;Aller;NO INTERVENIDA;FUSILAMIENTO;1;37.2542;-4.9923835
4;Fosa en los alrededores de la estación de FEVE de Collazo;Principado de Asturias;Aller;NO INTERVENIDA;FUSILAMIENTO;0;37.2542;-4.9923835
5;Fosa sobre el pueblo de Serrapio, AS-252 entre Km 16 y 17;Principado de Asturias;Aller;NO INTERVENIDA;FUSILAMIENTO;2;43.162056;-5.6199446
6;3 Fosas en la carretera AS-252, entre los Kms 15 y 16;Principado de Asturias;Aller;NO INTERVENIDA;FUSILAMIENTO;2;43.162056;-5.6199446
7;Cementerio de San Esteban;Principado de Asturias;Tapia de Casariego;NO INTERVENIDA;FUSILAMIENTO;0;43.57162;-6.9425
8;Fosa Carombu;Principado de Asturias;Amieva;NO INTERVENIDA;FUSILAMIENTO;0;43.270588;-5.1282196
9;Bocamina en Tablao (Cabañaquinta);Principado de Asturias;Aller;NO INTERVENIDA;FUSILAMIENTO;0;43.162056;-5.6199446
10;Mina Peregrina (Los Estrullones, AS-112 entre los Kms 12 y 13;Principado de Asturias;Aller;NO INTERVENIDA;FUSILAMIENTO;0;43.162056;-5.6199446
11;2 fosas en  Prau Llerón (Los Estrullones, AS-112, entre los Kms 12 y13 frente a la fosa de la mina Peregrina);Principado de Asturias;Aller;NO INTERVENIDA;FUSILAMIENTO;0;43.162056;-5.6199446
12;Fosa 2 en el Cementerio viejo de El Rubio;Andalucía;Rubio, El;DESAPARECIDA;FUSILAMIENTO;2;37.357014;-4.9877586
13;;Andalucía;Rubio, El;EXHUMADA TOTAL;FUSILAMIENTO;0;37.357018;-4.987758
14;Fosa entre el Pino y la Pola, AS-253;Principado de Asturias;Aller;NO INTERVENIDA;FUSILAMIENTO;0;43.111946;-5.5241666
15;;Andalucía;Rubio, El;EXHUMADA TOTAL;FUSILAMIENTO;0;37.357018;-4.98776
16; Les Escudielles, AS-253, km 13;Principado de Asturias;Aller;NO INTERVENIDA;FUSILAMIENTO;2;43.162056;-5.6199446
17;Fosa de Cabacheros, AS-253, Km. 14 junto a la planta de aguas de Cuevas;Principado de Asturias;Aller;EXHUMADA PARCIAL;FUSILAMIENTO;14;43.09667;-5.4769444
18;Fosa en el Puente de la Muñeca;Principado de Asturias;Aller;NO INTERVENIDA;FUSILAMIENTO;1;43.095276;-5.4747224
19;Fosa en el Lago de Isoba, LE-331, Provincia de León;Principado de Asturias;Aller;NO INTERVENIDA;FUSILAMIENTO;1;43.04139;-5.3025
20;Fosa en Caborana;Principado de Asturias;Aller;NO INTERVENIDA;FUSILAMIENTO;1;43.162056;-5.6199446
21;Fosa en la Llanada de Rasón, en las cercanías de Moreda;Principado de Asturias;Aller;NO INTERVENIDA;REPRESALIA EN RETAGUARDIA;2;43.162056;-5.6199446
22;Fosa en Pozo Rondero;Principado de Asturias;Aller;NO INTERVENIDA;LUCHA ARMADA;0;43.162056;-5.6199446
23;Fosa en Prado Vegachoba, cerca de Llamas;Principado de Asturias;Aller;NO INTERVENIDA;FUSILAMIENTO;2;43.162056;-5.6199446
24;Fosa en el Cementerio Civil de Nembra;Principado de Asturias;Aller;NO INTERVENIDA;FUSILAMIENTO;1;43.162056;-5.6199446
25;Fosa de La Pozona (Felechosa, AS-253, entre los Kms 11 y 12, junto al colegio);Principado de Asturias;Aller;NO INTERVENIDA;FUSILAMIENTO;2;43.162064;-5.6199446
26;Fosa de El Pico en San Juan de la Arena;Principado de Asturias;Soto del Barco;NO INTERVENIDA;FUSILAMIENTO;0;43.528904;-6.0736775
27;Fosa en la carreterilla de la Estación;Andalucía;Benacazón;DESAPARECIDA;FUSILAMIENTO;0;37.35355;-6.196186
28;Fosa en el Cerro Real;Andalucía;Aguadulce;EXHUMADA TOTAL;FUSILAMIENTO;0;37.2542;-4.9923835
29;Fosa en La Llomba, Prado "Los Ferrandos";Principado de Asturias;Bimenes;EXHUMADA TOTAL;FUSILAMIENTO;1;43.531414;-5.5646863
30;Fosa en el Castañedo de Bimenes;Principado de Asturias;Bimenes;NO INTERVENIDA;FUSILAMIENTO;0;43.531414;-5.5646863
31;Fosa de La Vara;Principado de Asturias;Bimenes;NO INTERVENIDA;FUSILAMIENTO;0;43.531414;-5.5646863
32;Fosa Riega La Mina, La Acebal;Principado de Asturias;Bimenes;NO INTERVENIDA;FUSILAMIENTO;0;43.531414;-5.5646863
33;Fosa del Prado de Barrial;Principado de Asturias;Bimenes;NO INTERVENIDA;FUSILAMIENTO;0;43.531414;-5.5646863
34;Fosa en El Omerón (La Camperona);Principado de Asturias;Bimenes;NO INTERVENIDA;FUSILAMIENTO;1;43.531414;-5.5646863
35;Fosa de Pandiellu-Cabrales;Principado de Asturias;Cabrales;EXHUMADA TOTAL;REPRESALIA EN RETAGUARDIA;2;43.316933;-4.844803
36;Fosa en el Cementerio de Murias;Principado de Asturias;Candamo;NO INTERVENIDA;LUCHA ARMADA;0;43.43739;-6.0580807
37;Fosa en el Cementerio de San Román;Principado de Asturias;Candamo;NO INTERVENIDA;LUCHA ARMADA;0;43.43739;-6.0580807
38;Fosa en el Cementerio de Llamero;Principado de Asturias;Candamo;NO INTERVENIDA;LUCHA ARMADA;0;43.43739;-6.0580807
39;Fosa en la Cantera de San Tirso;Principado de Asturias;Candamo;NO INTERVENIDA;FUSILAMIENTO;0;43.43739;-6.0580807
40;Fosa Vellanzo;Principado de Asturias;Amieva;NO INTERVENIDA;FUSILAMIENTO;0;43.270588;-5.1282196
41;Fosa en el Puente de Sandiche;Principado de Asturias;Candamo;NO INTERVENIDA;FUSILAMIENTO;3;43.43739;-6.0580807
42;Fosa en el Cementerio Cangas de Narcea;Principado de Asturias;Cangas del Narcea;EXHUMADA PARCIAL;FUSILAMIENTO;0;43.178516;-6.549747
43;Fosa en Las Llamas;Principado de Asturias;Amieva;NO INTERVENIDA;FUSILAMIENTO;0;43.270588;-5.1282196
44;Fosa de Fávila;Principado de Asturias;Corvera de Asturias;NO INTERVENIDA;FUSILAMIENTO;0;43.51012;-5.8692417
45;Fosa en Cuetu Les Viñes;Principado de Asturias;Llanes;NO INTERVENIDA;FUSILAMIENTO;0;43.419655;-4.7540417
46;Fosa junto a la Cueva de Samoreli;Principado de Asturias;Llanes;NO INTERVENIDA;;0;43.419655;-4.7540417
47;Fosa La Canella el Traviesu;Principado de Asturias;Parres;NO INTERVENIDA;FUSILAMIENTO;0;43.390617;-5.1853194
48;Fosa extramuros del cementerio de Vega de Rengos;Principado de Asturias;Cangas del Narcea;NO INTERVENIDA;REPRESALIA EN RETAGUARDIA;5;43.178516;-6.549747
49;Fosa de Tebongo;Principado de Asturias;Cangas del Narcea;NO INTERVENIDA;FUSILAMIENTO;0;43.178516;-6.549747
50;Fosa en el Puente del Infierno;Principado de Asturias;Cangas del Narcea;NO INTERVENIDA;REPRESALIA EN RETAGUARDIA;1;43.178516;-6.549747
51;Fosa en el Puerto de Leitariegos (Trinchera de Fuente Sagrada, La Sagrada);Principado de Asturias;Cangas del Narcea;NO INTERVENIDA;REPRESALIA EN RETAGUARDIA;1;43.178516;-6.549747
52;Fosa en el Cementerio de Cangas de Onís;Principado de Asturias;Cangas de Onís;NO INTERVENIDA;FUSILAMIENTO;0;43.351646;-5.1271667
53;Fosa de Sobrepiedra en Cangas de Onís;Principado de Asturias;Cangas de Onís;NO INTERVENIDA;FUSILAMIENTO;5;43.351646;-5.1271667
54;Fosa en Cerro Filispardi, (Puerto de Tarna);Principado de Asturias;Caso;NO INTERVENIDA;LUCHA ARMADA;0;43.183994;-5.343425
55;Fosa El Caspíu, en la calzada romana;Principado de Asturias;Caso;NO INTERVENIDA;FUSILAMIENTO;1;43.183994;-5.343425
56;Fosa en Vistalegre;Principado de Asturias;Parres;NO INTERVENIDA;FUSILAMIENTO;0;43.390617;-5.1853194
57;Fosa La Lloba, Junto a la gasolinera, junto a un nido de ametralladoras de la guerra, carretera AS-632;Principado de Asturias;Castrillón;NO INTERVENIDA;FUSILAMIENTO;2;43.56084;-5.9726863
58;Fosas en el Pinar de Salinas;Principado de Asturias;Castrillón;NO INTERVENIDA;FUSILAMIENTO;1;43.56084;-5.9726863
59;Fosa en Pillarno;Principado de Asturias;Castrillón;NO INTERVENIDA;FUSILAMIENTO;0;43.56084;-5.9726863
60;Fosa en el Cementerio de Castropol;Principado de Asturias;Castropol;NO INTERVENIDA;FUSILAMIENTO;0;43.529552;-7.0280776
61;Cementerio de Barres (Figueras);Principado de Asturias;Castropol;NO INTERVENIDA;FUSILAMIENTO;0;43.529552;-7.0280776
62;Fosa de Fontecha;Principado de Asturias;Colunga;Sin Estado;;0;43.48591;-5.2713556
63;Fosa de Puente Meiro;Principado de Asturias;Coaña;Sin Estado;FUSILAMIENTO;0;43.517776;-6.7552776
64;Fosa en el cementerio de Trelles;Principado de Asturias;Coaña;NO INTERVENIDA;REPRESALIA EN RETAGUARDIA;1;43.515877;-6.7507777
65;Cementerio de Mohías;Principado de Asturias;Coaña;NO INTERVENIDA;FUSILAMIENTO;2;43.515877;-6.7507777
66;Fosa en el cementerio de Folgueras;Principado de Asturias;Coaña;NO INTERVENIDA;REPRESALIA EN RETAGUARDIA;2;43.515877;-6.7507777
67;Fosa en el Cementerio de Coaña;Principado de Asturias;Coaña;NO INTERVENIDA;FUSILAMIENTO;0;43.515877;-6.7507777
68;Cementerio de San Martín de Luiña;Principado de Asturias;Cudillero;Sin Estado;;0;43.563393;-6.145056
69;Fosa de la Concha de Artello;Principado de Asturias;Cudillero;NO INTERVENIDA;FUSILAMIENTO;0;43.563393;-6.145056
70;Cementerio de Degaña;Principado de Asturias;Degaña;Sin Estado;;0;42.94176;-6.5692124
71;Fosa en el Cementerio Civil de la Caridad;Principado de Asturias;Franco, El;NO INTERVENIDA;REPRESALIA EN RETAGUARDIA;3;43.552795;-6.8277526
72;Cementerio de Ceares;Principado de Asturias;Gijón;NO INTERVENIDA;FUSILAMIENTO;0;43.537193;-5.6608944
73;Fosa en el Cementerio de Jove;Principado de Asturias;Gijón;NO INTERVENIDA;FUSILAMIENTO;0;43.537193;-5.6608944
74;Fosa en el Cementerio de Tremañes;Principado de Asturias;Gijón;NO INTERVENIDA;FUSILAMIENTO;0;43.537193;-5.6608944
75;Fosa en el Cementerio de Porceyo;Principado de Asturias;Gijón;NO INTERVENIDA;FUSILAMIENTO;0;43.537193;-5.6608944
76;Fosa en el Cementerio de Cenero;Principado de Asturias;Gijón;NO INTERVENIDA;FUSILAMIENTO;0;43.537193;-5.6608944
77;Fosa en el Cementerio de Roces;Principado de Asturias;Gijón;NO INTERVENIDA;FUSILAMIENTO;0;43.537193;-5.6608944
78;Fosa en la Finca El CantónSerín (barrio "El Gallinal");Principado de Asturias;Gijón;EXHUMADA TOTAL;FUSILAMIENTO;1;43.537193;-5.6608944
79;Fosa en La Pedrera, (Finca de los Rodriguez San Pedro);Principado de Asturias;Gijón;NO INTERVENIDA;FUSILAMIENTO;2;43.537193;-5.6608944
80;La Camocha;Principado de Asturias;Gijón;NO INTERVENIDA;FUSILAMIENTO;0;43.537193;-5.6608944
81;Fosa en la urbanización de Verdicio, en Tenrero;Principado de Asturias;Gozón;NO INTERVENIDA;;0;43.615112;-5.7913446
82;Fosa en El Estrellín;Principado de Asturias;Gozón;NO INTERVENIDA;;0;43.615112;-5.7913446
83;Fosa El Fornón;Principado de Asturias;Gozón;NO INTERVENIDA;;0;43.615112;-5.7913446
84;Fosa de Meneses de Campos;Castilla y León;Meneses de Campos;EXHUMADA TOTAL;;0;41.94247;-4.9180274
85;Fosa común de Verdicio;Principado de Asturias;Gozón;NO INTERVENIDA;FUSILAMIENTO;0;43.615112;-5.7913446
86;Fosa en Cabo Peñas;Principado de Asturias;Gozón;NO INTERVENIDA;FUSILAMIENTO;0;43.615112;-5.7913446
87;Fosa en el Cementerio Civil de Grao;Principado de Asturias;Gozón;NO INTERVENIDA;FUSILAMIENTO;0;43.38949;-6.0685472
88;Fosa en el Cementerio Civil de Grao;Principado de Asturias;Grado;NO INTERVENIDA;FUSILAMIENTO;0;43.38949;-6.0685472
89;Fosa en el Cementerio de Nueva de Llanes;Principado de Asturias;Grado;NO INTERVENIDA;;0;43.419655;-4.7540417
90;"La Dosal de Momalo" (Momalo);Principado de Asturias;Grado;NO INTERVENIDA;REPRESALIA EN RETAGUARDIA;12;43.38949;-6.0685472
91;Fosa de Santianes de Molenes, extramuros del cementerio;Principado de Asturias;Grado;NO INTERVENIDA;REPRESALIA EN RETAGUARDIA;7;43.38949;-6.0685472
92;Fosa en Las Villas (La Noceda);Principado de Asturias;Grado;NO INTERVENIDA;FUSILAMIENTO;0;43.38949;-6.0685472
